Sales;Item Code;Sales USD; GP USD;4/01/2021;11/01/2021;18/01/2021;25/01/2021;1/02/2021;8/02/2021;15/02/2021;22/02/2021;1/03/2021;8/03/2021;15/03/2021;22/03/2021;29/03/2021;5/04/2021;12/04/2021;19/04/2021;26/04/2021;3/05/2021;10/05/2021;17/05/2021;24/05/2021;31/05/2021;7/06/2021;14/06/2021;21/06/2021;28/06/2021;5/07/2021;12/07/2021;19/07/2021;26/07/2021;2/08/2021;9/08/2021;16/08/2021;23/08/2021;30/08/2021;6/09/2021;13/09/2021;20/09/2021;27/09/2021;4/10/2021;11/10/2021;18/10/2021;25/10/2021;1/11/2021;8/11/2021;15/11/2021;22/11/2021;29/11/2021;6/12/2021;13/12/2021;20/12/2021;27/12/2021;3/01/2022;10/01/2022;17/01/2022;24/01/2022;31/01/2022;7/02/2022;14/02/2022;21/02/2022;28/02/2022;7/03/2022;14/03/2022;21/03/2022;28/03/2022;4/04/2022;11/04/2022;18/04/2022;25/04/2022;2/05/2022;9/05/2022;16/05/2022;23/05/2022;30/05/2022;6/06/2022;13/06/2022;20/06/2022;27/06/2022;4/07/2022;11/07/2022;18/07/2022;25/07/2022;1/08/2022;8/08/2022;15/08/2022;22/08/2022;29/08/2022;5/09/2022;12/09/2022;19/09/2022;26/09/2022;3/10/2022;10/10/2022;17/10/2022;24/10/2022;31/10/2022;7/11/2022;14/11/2022;21/11/2022;28/11/2022;5/12/2022;12/12/2022;19/12/2022;26/12/2022;2/01/2023;9/01/2023;16/01/2023;23/01/2023;30/01/2023;6/02/2023;13/02/2023;20/02/2023;27/02/2023;6/03/2023;13/03/2023;20/03/2023;27/03/2023;3/04/2023;10/04/2023;17/04/2023;24/04/2023;1/05/2023;8/05/2023;15/05/2023;22/05/2023;29/05/2023;5/06/2023;12/06/2023;19/06/2023;26/06/2023;3/07/2023;10/07/2023;17/07/2023;24/07/2023;31/07/2023;7/08/2023;14/08/2023;21/08/2023;28/08/2023;4/09/2023;11/09/2023;18/09/2023;25/09/2023;2/10/2023;9/10/2023;16/10/2023;23/10/2023;30/10/2023;6/11/2023;13/11/2023;20/11/2023;27/11/2023;4/12/2023;11/12/2023;18/12/2023;25/12/2023;1/01/2024;8/01/2024;15/01/2024;22/01/2024;29/01/2024;5/02/2024;12/02/2024;19/02/2024;26/02/2024;4/03/2024;11/03/2024;18/03/2024;25/03/2024;1/04/2024;8/04/2024;15/04/2024;22/04/2024;29/04/2024
1;Item 1;2072013.08;848153.22;884;3150;0;4296;0;1336;3444;2054;296;1048;1588;1180;1810;720;1296;2748;1952;444;432;1552;262;1420;656;1336;132;1896;304;956;696;4084;28;844;1368;972;3592;866;1512;430;1992;384;136;868;1128;800;3400;1496;3338;1024;60;538;991;0;799;1148;1134;240;956;1784;1592;1120;364;-200;1180;956;616;88;16;540;1697;0;324;1392;192;920;384;1304;1103;1352;284;364;2583;1553;0;666;499;894;3901;340;692;1114;335;1234;2116;228;2976;628;344;1012;52;1884;108;1220;1568;1132;707;39;724;0;2728;536;0;660;748;1108;516;368;2776;300;132;948;1156;0;-44;1436;100;2481;-228;214;2202;530;0;1498;810;1140;1349;1502;240;360;2146;1744;788;2860;1745;1176;650;1088;1808;1310;666;546;1404;1530;864;1182;1022;-2;700;2184;80;512;472;614;1416;2322;306;1612;576;956;854;80;484;1706;2904;1652
2;item 2;1457547.52;487510.41;716;3400;0;3596;0;2060;1830;1816;1024;1504;988;1236;718;2076;2404;2736;2812;788;448;1104;576;1839;852;1480;324;1952;500;149;826;3180;52;1316;788;2320;4108;129;2032;648;1956;664;0;2249;2432;863;1701;2257;1886;439;500;588;450;0;1076;1036;2240;1028;660;1708;1350;358;703;0;864;1840;1668;664;104;818;2210;80;1008;1476;0;1808;584;913;1961;1605;150;1279;289;2968;100;731;1193;1086;1804;228;685;2096;1059;2136;1456;752;3479;573;579;1888;2113;1638;302;1032;129;904;356;259;2220;0;2234;1236;160;1198;576;884;1108;914;900;0;516;1948;608;0;368;1412;75;3462;-58;-555;2235;756;0;1714;1416;736;1916;1968;192;1036;3490;1400;1108;1996;1690;304;316;1187;1452;1620;981;924;1004;1544;172;668;552;0;446;1943;505;876;1096;596;1134;2838;860;590;991;1142;778;152;364;776;1764;2220
3;Item 3;1420587.1;502635.53;548;2166;5;2902;0;1396;1700;1252;760;1184;768;1272;1308;1048;1620;1528;2656;604;304;656;480;1260;528;1500;252;1768;696;104;340;2208;0;1624;24;1128;3692;298;1316;824;804;768;248;605;1633;800;644;1693;2960;972;736;1980;750;0;204;615;1525;176;596;1656;1408;344;468;384;308;1268;572;584;0;412;1813;0;847;1821;384;660;480;912;933;908;98;368;1180;732;9;672;618;652;1724;420;603;500;867;1152;1248;728;2772;544;344;1040;1073;1368;398;796;132;352;692;160;820;0;2564;908;96;1126;586;390;834;600;560;0;132;1712;1824;600;0;1642;94;2112;-651;-704;1429;336;40;1742;1092;1072;1323;696;386;889;2293;1452;344;2048;1079;186;284;1072;1568;1464;1392;712;564;2552;202;200;307;0;286;1452;96;1712;284;434;1304;2912;444;452;2658;2164;317;100;516;644;1176;1385
4;Item 4;1325760.96;519995.71;1;0;7;1;0;9;6;0;-1;16;0;7;0;0;0;1;15;0;7;3;5;0;2;6;19;3;1;6;5;0;0;4;0;3;0;4;6;0;0;1;2;46;9;2;3;5;8;2;1;12;19;0;4;0;5;3;2;14;8;7;0;3;4;4;2;0;2;1;35;8;11;5;4;1;0;5;2;32;28;19;32;16;0;2;31;1;8;4;0;55;11;9;3;2;26;4;3;2;5;45;5;4;0;0;1;5;39;55;2;9;1;3;4;1;7;7;3;3;2;2;11;3;19;37;3;6;1;51;73;7;3;2;2;12;2;15;12;9;26;25;5;3;3;6;1;1;7;14;0;3;5;24;1;5;0;0;7;2;20;0;1;0;13;67;84;4;5;4;6;1;0;7;7;8
5;Item 5;687728.91;242856.82;4;14;1;43;0;40;6;9;13;25;13;7;15;9;6;72;17;-7;0;15;58;13;16;46;24;9;12;48;0;22;0;13;19;2;5;0;10;0;2;0;0;0;0;0;0;30;20;90;1;0;0;20;30;55;71;45;21;22;25;47;61;3;53;2;44;17;16;0;30;15;8;11;18;2;20;21;-7;10;26;27;42;101;2;53;41;85;12;7;34;44;40;0;56;14;28;28;0;7;21;51;14;17;20;27;4;50;0;36;57;46;4;121;19;8;14;6;18;-57;1;14;29;0;5;60;3;85;18;8;41;136;7;23;26;16;19;29;28;57;56;45;9;52;16;9;15;37;117;70;31;53;8;80;4;19;5;0;46;52;5;0;46;8;73;80;13;42;37;37;11;2;24;34;22;76
6;Item 6;559616.33;211435.56;50;55;14;139;25;60;40;76;49;37;122;174;40;63;165;69;277;103;0;127;7;120;44;55;0;4;-1;0;0;0;0;0;0;-1;0;0;50;0;2;0;53;5;50;20;190;180;80;0;20;0;74;0;82;129;128;11;46;60;-34;52;42;200;65;191;90;96;6;30;626;0;32;84;60;10;2;188;40;78;1;14;77;54;72;138;59;88;89;61;50;41;238;0;28;10;218;188;40;124;2;106;38;190;105;30;0;-1;60;20;60;31;0;43;123;0;80;60;0;0;10;198;162;2;119;409;126;347;4;34;91;148;10;37;100;132;-3;158;32;51;96;100;10;40;58;63;100;39;220;219;147;206;121;224;75;110;37;0;0;181;25;26;77;67;51;123;42;72;122;890;158;0;0;75;286;218
7;Item 7;530735.87;191529.04;4;18;13;3;0;0;2;11;6;21;-6;9;4;0;21;12;7;1;4;9;10;7;13;-3;4;0;6;6;17;0;2;40;0;0;0;0;8;0;5;6;2;11;20;6;5;5;0;0;-4;5;3;0;9;0;12;6;2;22;5;2;13;4;1;6;3;0;1;2;29;16;6;9;22;3;13;8;2;5;19;34;5;20;0;9;25;12;4;0;1;5;59;7;5;0;55;11;2;6;11;8;2;13;6;0;10;11;7;4;17;10;5;18;2;0;6;9;5;0;3;0;19;4;8;3;2;8;2;17;8;5;2;3;6;12;15;5;4;2;14;3;12;6;4;4;1;1;8;13;1;3;6;24;2;6;2;-5;13;1;1;2;7;9;1;4;8;13;4;10;4;0;2;3;8;6
8;Item 8;523941.85;178788.63;7;40;9;47;0;0;14;30;8;7;0;12;20;13;14;10;32;8;0;0;32;0;60;-30;0;0;6;79;0;3;0;1;24;2;3;-4;4;10;5;2;3;13;13;0;21;49;51;0;0;1;0;0;4;25;20;0;0;15;9;88;53;17;32;0;23;2;0;0;0;11;5;52;0;1;21;0;0;22;9;37;25;7;44;17;25;34;4;4;5;31;2;1;50;0;63;4;0;0;0;30;20;65;13;-9;0;34;14;0;17;16;0;0;3;1;4;0;52;8;6;11;12;0;9;9;9;45;21;9;11;0;0;11;15;4;9;1;38;1;30;0;0;3;36;32;3;1;17;16;10;39;26;41;8;22;7;0;37;2;0;4;18;28;0;15;15;23;23;32;28;0;0;15;8;17
9;Item 9;488372.42;200839.51;52;70;13;78;17;34;13;71;0;54;-5;35;85;50;38;96;68;0;30;41;118;3;0;60;25;18;10;67;65;44;0;30;5;7;20;10;66;0;11;0;0;0;50;60;100;100;20;-4;20;0;50;0;122;118;156;30;122;95;-49;17;23;10;90;0;111;54;0;7;0;0;0;8;8;15;0;110;136;0;0;0;0;0;0;70;10;40;92;29;8;19;123;1;70;0;80;69;46;49;1;65;27;90;16;20;24;74;37;7;49;51;16;229;25;0;-180;205;10;-190;30;92;124;50;81;153;80;176;17;15;150;258;0;819;53;82;-27;17;100;59;118;40;0;52;35;0;0;10;60;25;-13;206;40;257;71;38;20;0;0;3;0;0;25;10;3;60;0;65;36;97;10;4;0;64;109;92
10;Item 10;458896.35;110048.04;708;1788;0;400;0;792;100;300;156;3724;872;0;0;0;0;4008;150;3168;0;780;948;384;36;168;99;272;168;0;0;100;0;0;0;0;672;0;2004;-2341;1218;0;156;1684;2880;2412;1716;1104;71;1652;4;156;888;0;3636;480;166;12;72;108;60;96;974;0;1056;184;200;1728;300;624;1146;0;852;400;0;24;36;972;792;756;-65;144;810;84;0;192;576;761;232;425;850;468;1402;0;2408;696;1090;398;348;7176;192;4068;10;684;604;0;108;270;516;0;4920;1572;384;3958;1260;660;168;408;948;-3168;336;528;636;0;0;784;36;7076;99;-36;1512;7178;0;0;100;304;4013;1128;288;1708;1242;2403;504;1247;1579;357;567;1277;3739;2304;1481;1251;49;2663;170;901;409;-10;-1;1589;372;492;648;228;984;5568;288;24;840;84;1008;24;0;1404;684;3996
