Fecha;Item 1;item 2;Item 3;Item 4;Item 5;Item 6;Item 7;Item 8;Item 9;Item 10;Item 11;Item 12;Item 13;Item 14;Item 15;Item 16;Item 17;Item 18;Item 19;Item 20;Item 21;Item 22;Item 23;Item 24;Item 25;Item 26;Item 27;Item 28;Item 29;Item 30;Item 31;Item 32;Item 33;Item 34;Item 35;Item 36;Item 37;Item 38;Item 39;Item 40;Item 41;Item 42;Item 43;Item 44;Item 45;Item 46;Item 47;Item 48;Item 49;Item 50;Item 51;Item 52;Item 53;Item 54;Item 55;Item 56;Item 57;Item 58;Item 59;Item 60;Item 61;Item 62;Item 63;Item 64;Item 65;Item 66;Item 67;Item 68;Item 69;Item 70;Item 71;Item 72;Item 73;Item 74;Item 75;Item 76;Item 77;Item 78;Item 79;Item 80
10/01/2021;884;716;548;1;4;50;4;7;52;708;18;0;42;64;224;0;45;0;0;7;17;6;1;0;0;0;0;0;0;0;21;6;0;5;0;0;0;3;72;0;0;27;22;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
17/01/2021;3150;3400;2166;0;14;55;18;40;70;1788;352;5;0;8;166;34;131;0;2;14;2;121;0;30;0;12;0;0;0;3;0;0;0;34;0;0;0;0;260;0;0;0;2;0;0;0;0;0;140;0;0;0;0;0;0;0;0;0;0;0;0;252;0;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2
24/01/2021;0;0;5;7;1;14;13;9;13;0;136;0;88;0;15;60;36;0;1;0;2;0;0;0;0;24;0;0;0;9;0;2;1;9;0;0;0;0;64;0;0;0;0;0;0;0;0;0;100;0;2;0;0;0;0;0;0;0;0;7;0;144;0;0;0;0;190;0;0;0;0;0;0;0;0;0;0;220;0;0
31/01/2021;4296;3596;2902;1;43;139;3;47;78;400;328;10;40;10;91;20;35;0;0;24;0;90;0;200;0;159;0;0;0;91;0;0;2;26;0;0;0;0;128;0;0;0;0;0;0;0;0;0;240;1;6;0;0;0;0;0;0;0;10;0;0;824;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1000;0;0
7/02/2021;0;0;0;0;0;25;0;0;17;0;128;0;34;0;27;0;0;0;0;0;0;15;0;150;0;55;0;0;0;0;0;0;0;1;38;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;999;0;0;0;0;0;0;0;0;0;0;0;0;0
14/02/2021;1336;2060;1396;9;40;60;0;0;34;792;4;13;44;16;73;0;-1;0;0;0;0;0;1;200;0;0;0;4;0;0;0;0;1;32;0;0;0;0;104;0;0;1;0;0;0;0;1224;0;360;0;30;0;0;1840;0;0;0;0;0;1;560;476;0;0;0;0;368;0;0;0;0;0;0;0;0;0;0;368;0;0
21/02/2021;3444;1830;1700;6;6;40;2;14;13;100;342;19;20;0;68;15;26;0;6;0;1;21;2;0;1;20;0;0;0;30;0;0;2;2;0;0;0;0;74;0;3;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28/02/2021;2054;1816;1252;0;9;76;11;30;71;300;556;1;60;0;40;25;55;0;2;1;1;3;1;0;0;162;0;8;0;50;0;0;3;15;0;0;0;0;58;0;1;0;13;0;0;0;0;0;474;0;1;0;0;0;0;0;0;0;0;2;0;356;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;360;0;0
7/03/2021;296;1024;760;-1;13;49;6;8;0;156;174;0;25;-3;0;0;0;0;0;6;1;0;0;100;0;57;0;2;0;0;0;48;0;20;0;0;0;0;0;0;2;0;0;0;3168;0;0;0;0;1;0;0;0;0;768;0;0;0;120;0;0;0;120;0;0;3168;100;120;0;0;384;0;0;0;288;0;0;100;3840;0
14/03/2021;1048;1504;1184;16;25;37;21;7;54;3724;1230;0;41;1;148;31;5;0;0;2;-1;0;0;700;0;120;0;0;0;121;10;10;0;5;0;0;0;0;72;0;1;0;18;0;0;0;0;0;260;0;15;0;0;0;0;0;0;0;0;4;0;436;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;0
